400212	BANCO DE CHILE	DEBIT GOLD PREMIUM	UNITED STATES	600 637 3737
518497	COOPERATIVA DE AHORRO Y CREDITO COOPEUCH LTDA.	CREDIT GOLD	CHILE	6002001200
518532	BANCO DEL ESTADO DE CHILE	CREDIT STANDARD	CHILE	600 200 7000
518536	COOPERATIVA DE AHORRO Y CREDITO COOPEUCH LTDA.	CREDIT STANDARD	CHILE	6002001200
518800	CORP BANCA	CREDIT GOLD	CHILE	600 600 86 86
518850	SCOTIABANK CHILE	CREDIT GOLD	CHILE	(2) 692 - 6000
518890	BANCO RIPLEY	CREDIT GOLD	CHILE	800 20 32 20 OR 02 694 16 90
518891	BANCO CREDITO INVERSIONES	CREDIT GOLD	CHILE	56 2 692 7000
519189	BANCO RIPLEY	CREDIT STANDARD	CHILE	800 20 32 20 OR 02 694 16 90
519716		CREDIT GOLD	CHILE	
519741	BANCO BILBAO VIZCAYA ARGENTARIA CHILE	CREDIT BUSINESS	CHILE	
520079	BANCO SECURITY	CREDIT GOLD	CHILE	56 2 5844000 OR 584 40 60
521312	CORP BANCA	CREDIT PLATINUM	CHILE	600 600 86 86
521892	BANCO SANTANDER CHILE	CREDIT GOLD	CHILE	800 20 7000 OR (600) 320 3000
522181	BANCO SANTANDER CHILE	CREDIT STANDARD	CHILE	800 20 7000 OR (600) 320 3000
522830	BANCO RIPLEY	CREDIT BLACK	CHILE	800 20 32 20 OR 02 694 16 90
522832	BANCO DE CHILE	CREDIT BLACK	CHILE	600 637 3737
524708	BANCO PARIS	CREDIT GOLD	CHILE	800 20 50 20 OR (02) 410 11 00
525622	BANCO PARIS	CREDIT STANDARD	CHILE	800 20 50 20 OR (02) 410 11 00
525623	BANCO PARIS	CREDIT STANDARD	CHILE	800 20 50 20 OR (02) 410 11 00
529881	SERVICIOS Y ADMINISTRACION DE CREDITOS COMERCIALES PRESTO, S.A.	CREDIT STANDARD	CHILE	
529883	SERVICIOS Y ADMINISTRACION DE CREDITOS COMERCIALES PRESTO, S.A.	CREDIT STANDARD	CHILE	
529885	SERVICIOS Y ADMINISTRACION DE CREDITOS COMERCIALES PRESTO, S.A.	CREDIT STANDARD	CHILE	
530250	BANCO SANTANDER CHILE	CREDIT CORPORATE CARD	CHILE	800 20 7000 OR (600) 320 3000
531216	BANCO INTERNACIONAL	CREDIT CORPORATE CARD	CHILE	600 363 5000
531663	BANCO CREDITO INVERSIONES	CREDIT PLATINUM	CHILE	56 2 692 7000
533013	CORP BANCA	CREDIT CORPORATE CARD	CHILE	600 600 86 86
533187	PROMOTORA CMR FALABELLA, S.A.	CREDIT CORPORATE CARD	CHILE	380 2000
533202	BANCO SANTANDER	CREDIT	CHILE	800 20 7000 OR (600) 320 3000
533204	BANCO DE SANTANDER - CHILE	DEBIT PREPAID	SPAIN	
533205	BANCO DE SANTANDER - CHILE	CREDIT WORLD BLACK	RUSSIAN FEDERATION	
533207	BANCO DE SANTANDER - CHILE	DEBIT PREPAID	LEBANON	
533208	BANCO SANTANDER	CREDIT	CHILE	800 20 7000 OR (600) 320 3000
533221	BANCO SANTANDER	CREDIT	CHILE	800 20 7000 OR (600) 320 3000
533225	BANCO SANTANDER CHILE	CREDIT GOLD	CHILE	800 20 7000 OR (600) 320 3000
533226	BANCO SANTANDER CHILE	CREDIT STANDARD	CHILE	800 20 7000 OR (600) 320 3000
533227	BANCO SANTANDER	CREDIT	CHILE	800 20 7000 OR (600) 320 3000
534129	BANCO DE CHILE	CREDIT GOLD	CHILE	600 637 3737
539032	BANCO INTERNACIONAL	CREDIT STANDARD	CHILE	600 363 5000
540020	BANCO SANTANDER CHILE	CREDIT STANDARD	CHILE	800 20 7000 OR (600) 320 3000
540475	BANCO SANTANDER CHILE	CREDIT GOLD	CHILE	800 20 7000 OR (600) 320 3000
540476	BANCO DE CHILE	CREDIT GOLD	CHILE	600 637 3737
540477	BANCO SANTANDER CHILE	CREDIT GOLD	CHILE	800 20 7000 OR (600) 320 3000
540491	BANCO SANTANDER CHILE	CREDIT STANDARD	CHILE	800 20 7000 OR (600) 320 3000
540523	BANCO DEL ESTADO DE CHILE	CREDIT CORPORATE PURCHASING	CHILE	600 200 7000
540782	BANCO DE CHILE	CREDIT	CHILE	600 637 3737
540826	BANCO SANTANDER CHILE	CREDIT STANDARD	CHILE	800 20 7000 OR (600) 320 3000
540841	BANCO PARIS	CREDIT STANDARD	CHILE	800 20 50 20 OR (02) 410 11 00
540937	BANCO ITAU CHILE	CREDIT STANDARD	CHILE	56-2-6860000
541280		CREDIT	CHILE	
541320	BANCO SANTANDER CHILE	CREDIT GOLD	CHILE	800 20 7000 OR (600) 320 3000
541678	BANCO DEL ESTADO DE CHILE	CREDIT GOLD	CHILE	600 200 7000
541944	SCOTIABANK CHILE	CREDIT STANDARD	CHILE	(2) 692 - 6000
542320	BANCO SANTANDER CHILE	CREDIT STANDARD	CHILE	800 20 7000 OR (600) 320 3000
542663	BANCO DEL ESTADO DE CHILE	CREDIT STANDARD	CHILE	600 200 7000
542714	FINANCIERA CONOSUR	CREDIT	CHILE	(214) 812-9425
543200	BANCO SANTANDER CHILE	CREDIT STANDARD	CHILE	800 20 7000 OR (600) 320 3000
543563	BANCO SANTANDER CHILE	CREDIT GOLD	CHILE	800 20 7000 OR (600) 320 3000
543564	BANCO DE CHILE	CREDIT STANDARD	CHILE	600 637 3737
543565	BANCO SANTANDER CHILE	CREDIT STANDARD	CHILE	800 20 7000 OR (600) 320 3000
543655	TRANSBANK, S.A.	CREDIT	CHILE	02-661 27 00
543696	BANCO ITAU CHILE	CREDIT GOLD	CHILE	56-2-6860000
544088	BANCO INTERNACIONAL	CREDIT GOLD	CHILE	600 363 5000
544728	BANCO SANTANDER CHILE	CREDIT GOLD	CHILE	800 20 7000 OR (600) 320 3000
544766		CREDIT	CHILE	
545153	BANCO INTERNACIONAL	CREDIT WORLD CARD	CHILE	600 363 5000
545196	CORP BANCA	CREDIT BLACK	CHILE	600 600 86 86
545646	BANCO BILBAO VIZCAYA ARGENTARIA CHILE	CREDIT GOLD	CHILE	
545699	BANCO SANTANDER CHILE	CREDIT	CHILE	800 20 7000 OR (600) 320 3000
546463	CORP BANCA	CREDIT STANDARD	CHILE	600 600 86 86
546467	CORP BANCA	CREDIT STANDARD	CHILE	600 600 86 86
546689	BANCO DE CHILE	CREDIT PLATINUM	CHILE	600 637 3737
547369	BANCO SANTANDER CHILE	CREDIT GOLD	CHILE	800 20 7000 OR (600) 320 3000
547551	BANCO ITAU CHILE	CREDIT BUSINESS	CHILE	56-2-6860000
548399	BANCO DE CHILE	CREDIT STANDARD	CHILE	600 637 3737
548480	BANCO SANTANDER CHILE	CREDIT STANDARD	CHILE	800 20 7000 OR (600) 320 3000
548481	BANCO SANTANDER CHILE	CREDIT GOLD	CHILE	800 20 7000 OR (600) 320 3000
548482	BANCO SANTANDER CHILE	CREDIT STANDARD	CHILE	800 20 7000 OR (600) 320 3000
548503	BANCO DE CHILE	CREDIT GOLD	CHILE	600 637 3737
548569	BANCO BILBAO VIZCAYA ARGENTARIA CHILE	CREDIT GOLD	CHILE	
548647	BANCO DE CHILE	CREDIT STANDARD	CHILE	600 637 3737
548652	BANCO DE CHILE	CREDIT STANDARD	CHILE	600 637 3737
548653	BANCO DE CHILE	CREDIT GOLD	CHILE	600 637 3737
548740	PROMOTORA CMR FALABELLA, S.A.	CREDIT STANDARD	CHILE	380 2000
548742	PROMOTORA CMR FALABELLA, S.A.	CREDIT STANDARD	CHILE	380 2000
549070	CAR, S.A.	CREDIT STANDARD	CHILE	
549162	BANCO SANTANDER CHILE	CREDIT PLATINUM	CHILE	800 20 7000 OR (600) 320 3000
549163	BANCO DE CHILE	CREDIT PLATINUM	CHILE	600 637 3737
549451	BANCO BILBAO VIZCAYA ARGENTARIA CHILE	CREDIT PLATINUM	CHILE	
552252	BANCO ITAU CHILE	CREDIT BLACK	CHILE	56-2-6860000
552273	BANCO CREDITO INVERSIONES	CREDIT BLACK	CHILE	56 2 692 7000
552300	BANCO SECURITY	CREDIT BLACK	CHILE	56 2 5844000 OR 584 40 60
552525	BANCO DE CHILE	CREDIT CORPORATE CARD	CHILE	600 637 3737
552559	BANCO DEL ESTADO DE CHILE	CREDIT CORPORATE CARD	CHILE	600 200 7000
552561	BANCO SANTANDER CHILE	CREDIT CORPORATE CARD	CHILE	800 20 7000 OR (600) 320 3000
552595	BANCO SECURITY	CREDIT CORPORATE CARD	CHILE	56 2 5844000 OR 584 40 60
552635	SCOTIABANK CHILE	CREDIT BUSINESS	CHILE	(2) 692 - 6000
552813	SCOTIABANK CHILE	CREDIT CORPORATE CARD	CHILE	(2) 692 - 6000
553405	BANCO SECURITY	CREDIT CORPORATE CARD	CHILE	56 2 5844000 OR 584 40 60
553452	BANCO RIPLEY	CREDIT CORPORATE CARD	CHILE	800 20 32 20 OR 02 694 16 90
553656	BANCO BILBAO VIZCAYA ARGENTARIA CHILE	CREDIT BLACK	CHILE	
554610	CORP BANCA	CREDIT GOLD	CHILE	600 600 86 86
554631	CORP BANCA	CREDIT STANDARD	CHILE	600 600 86 86
554632	CORP BANCA	CREDIT STANDARD	CHILE	600 600 86 86
554902	BANCO DE CHILE	CREDIT PLATINUM	CHILE	600 637 3737
554904	BANCO ITAU CHILE	CREDIT PLATINUM	CHILE	56-2-6860000
554926	BANCO DEL ESTADO DE CHILE	CREDIT PLATINUM	CHILE	600 200 7000
554940	BANCO SECURITY	CREDIT PLATINUM	CHILE	56 2 5844000 OR 584 40 60
556083	BANCO SECURITY	CREDIT CORPORATE FLEET CARD	CHILE	56 2 5844000 OR 584 40 60
558347	CORP BANCA	CREDIT BUSINESS	CHILE	600 600 86 86
558685	BANCO DE CHILE	CREDIT CORPORATE CARD	CHILE	600 637 3737
558727	SCOTIABANK CHILE	CREDIT BLACK CARD	CHILE	(2) 692 - 6000
558840	BANCO DE CHILE	CREDIT BUSINESS	CHILE	600 637 3737
558984	PROMOTORA CMR FALABELLA, S.A.	CREDIT WORLD FOR BUSINESS	CHILE	380 2000
559202	BANCO PARIS	CREDIT STANDARD	CHILE	800 20 50 20 OR (02) 410 11 00
559205	BANCO PARIS	CREDIT STANDARD	CHILE	800 20 50 20 OR (02) 410 11 00
559207	BANCO PARIS	CREDIT STANDARD	CHILE	800 20 50 20 OR (02) 410 11 00
589701		DEBIT	CHILE	
