400159	AMINIT, LTD.	CREDIT CORPORATE T&E	ISRAEL	972-3-6895820
544075	EUROPAY (EUROCARD) ISRAEL, LTD.	CREDIT	ISRAEL	
545134	LEUMICARD, LTD.	CREDIT WORLD CARD	ISRAEL	03-6178888
545136	ISRAEL CREDIT CARDS, LTD.	CREDIT WORLD CARD	ISRAEL	360-378-2265
545138	BANK LEUMI LE-ISRAEL BM	CREDIT WORLD CARD	ISRAEL	03-9544555 OR *5522
547707	ISRAEL CREDIT CARDS, LTD.	CREDIT BUSINESS	ISRAEL	360-378-2265
547714	ISRAEL DISCOUNT BANK, LTD.	CREDIT BUSINESS	ISRAEL	(212) 551-8500
547718	BANK LEUMI LE-ISRAEL BM	CREDIT BUSINESS	ISRAEL	03-9544555 OR *5522
549212		DEBIT PREPAID	ISRAEL	
552176	BANK LEUMI LE-ISRAEL BM	CREDIT PLATINUM	ISRAEL	03-9544555 OR *5522
552177	LEUMICARD, LTD.	CREDIT PLATINUM	ISRAEL	03-6178888
552183	ISRAEL CREDIT CARDS, LTD.	CREDIT PLATINUM	ISRAEL	360-378-2265
552184	ISRAEL DISCOUNT BANK, LTD.	CREDIT PLATINUM	ISRAEL	(212) 551-8500
552517	BANK LEUMI LE-ISRAEL BM	CREDIT CORPORATE CARD	ISRAEL	03-9544555 OR *5522
555953	BANK LEUMI LE-ISRAEL BM	CREDIT CORPORATE PURCHASING	ISRAEL	03-9544555 OR *5522
558331	LEUMICARD, LTD.	CREDIT BUSINESS	ISRAEL	03-6178888
558449	BANK OF PALESTINE, LTD.	CREDIT	ISRAEL	972 3 567 3305
